drain TotalCurrent(nch33_char30_des) X,drain TotalCurrent(nch33_char30_des) Y
0,2.3735823e-20
0,3.2501022e-20
0,-4.400221e-19
0,-1.7913949e-18
0,-5.1336009e-16
0,-3.4140311e-20
0,-3.6593749e-16
0,1.454108e-15
0,-9.7063834e-19
0,-1.4719271e-18
0.05,1.5685796e-07
0.12333333,1.8084079e-07
0.25044444,1.888904e-07
0.4622963,1.9910878e-07
0.54703704,2.0275266e-07
0.67697284,2.0805415e-07
0.86754535,2.1546407e-07
1.1470517,2.2638428e-07
1.5756281,2.4594434e-07
2.0756281,2.7526861e-07
2.5756281,3.1338192e-07
3.0756281,3.6181253e-07
3.5756281,4.2358959e-07
4.0756281,5.0480337e-07
4.2422948,5.3637487e-07
4.5311837,5.938818e-07
5,7.1066539e-07

